TCGA.S9.A6U1	TCGA.HT.7483	TCGA.VW.A7QS	TCGA.HT.A5RA	TCGA.DH.A66G	TCGA.P5.A5EX	TCGA.DH.A7UR	TCGA.HT.7604	TCGA.IK.8125	TCGA.HT.A61C	TCGA.HT.A74K	TCGA.DB.A4XD	TCGA.HT.7477	TCGA.S9.A6TX	TCGA.DB.A75K	TCGA.HT.A619	TCGA.FN.7833	TCGA.HT.8114
ENSG00000185345	440	908	527	518	781	432	583	542	1418	295	465	469	396	620	503	372	281	1098
ENSG00000185347	638	297	274	431	335	154	1595	643	466	1988	1500	306	1731	810	963	711	401	517
ENSG00000185352	109	1665	21	66	3616	103	551	40	1845	105	25	67	346	29	156	32	28	722
ENSG00000185359	5314	4995	9106	4438	4554	4246	6770	4841	6218	6612	3273	3779	6388	7678	8921	5137	4265	8101
ENSG00000185361	481	579	242	1867	711	750	1477	532	907	1457	1160	297	1524	414	482	477	517	897
ENSG00000185372	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
ENSG00000185379	1277	1180	1293	930	945	862	1135	1379	1785	1459	799	777	1014	1106	1290	1793	1177	1778
ENSG00000185385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185386	843	1388	967	2198	1517	578	4006	1319	2968	3894	2318	566	610	2050	2618	1851	800	957
ENSG00000185390	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
ENSG00000185404	239	183	101	728	245	323	170	274	183	417	147	152	224	153	331	79	790	721
ENSG00000185414	1899	2473	2397	1423	1180	878	1649	2064	2770	1507	1512	1423	1169	1916	1305	2854	1328	2968
ENSG00000185418	1973	2143	2564	592	1144	1426	1649	1994	2643	993	1302	1898	1093	1829	1766	1142	1857	3104
ENSG00000185420	299	505	1582	419	325	447	396	458	507	294	660	220	372	455	616	473	470	1265
ENSG00000185432	13876	12730	15332	39985	12789	25099	6064	20763	22248	5136	9082	18129	5709	21974	25776	18110	18447	39782
ENSG00000185433	22	15	168	29	32	34	43	54	36	80	10	31	47	14	12	34	28	76
ENSG00000185436	255	44	7	411	404	95	17	126	64	350	37	166	181	137	268	3	187	409
ENSG00000185437	343	718	559	1926	828	1017	471	634	859	1398	726	416	1001	763	362	328	465	1167
ENSG00000185442	241	211	327	184	517	336	974	437	610	483	418	183	349	524	497	236	259	327
ENSG00000185448	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000185453	1300	832	438	1088	558	848	864	1052	690	1371	893	776	1914	942	925	409	893	1180
ENSG00000185467	2	7	10	6	2	1	0	3	0	2	1	1	1	3	1	0	2	1
ENSG00000185475	1317	1417	1132	1901	1023	1783	1457	1648	1207	1581	1374	911	1697	1106	1498	1034	1495	2649
ENSG00000185477	595	336	1840	376	778	824	199	505	744	395	168	203	282	1228	830	126	686	1230
ENSG00000185479	0	0	557	2	59	4	1	0	0	0	0	0	5	0	2	0	83	0
ENSG00000185480	112	148	53	351	68	46	239	192	145	524	48	58	566	82	63	171	159	144
ENSG00000185482	280	129	194	205	132	224	333	189	164	422	272	146	233	167	553	76	1078	553
ENSG00000185483	60	140	230	480	80	187	75	56	97	77	18	36	107	56	59	38	34	220
ENSG00000185485	518	195	666	517	333	207	697	140	649	400	268	254	301	504	847	351	476	697
ENSG00000185495	260	196	316	31	185	69	145	254	345	84	75	139	126	158	122	209	275	456
ENSG00000185499	225	509	396	425	679	769	232	131	168	712	472	135	485	429	946	56	506	556
ENSG00000185504	4181	1869	3163	3280	1780	1359	5047	2824	2733	7827	2842	2448	5550	2831	4478	3579	2857	3518
ENSG00000185507	532	244	487	862	408	862	531	570	207	2233	636	342	1439	407	8394	184	5839	1366
ENSG00000185513	824	429	1691	241	844	273	1155	571	1481	497	341	565	696	1154	1704	1176	1001	1282
ENSG00000185515	814	920	879	1018	707	796	927	1089	1385	838	413	709	655	746	648	854	1016	1665
ENSG00000185518	282	1391	116	5	5780	100	1522	307	6415	320	101	112	1011	232	202	16	46	1158
ENSG00000185519	537	129	20	132	94	13	153	74	176	155	385	164	132	301	374	0	237	45
ENSG00000185522	21	11	25	27	18	6	30	13	13	45	23	6	15	27	30	7	30	61
ENSG00000185523	2	6	0	5	2	1	4	8	10	6	8	3	3	4	6	2	1	12
ENSG00000185527	12	25	10	21	12	30	21	10	16	34	14	13	19	15	24	12	21	53
ENSG00000185532	716	400	186	918	322	480	468	203	631	302	348	351	208	224	99	138	519	490
ENSG00000185551	332	983	473	503	438	672	1537	751	977	1440	243	663	714	1802	493	482	420	2091
ENSG00000185559	1	38	1	137	8	1	2	1	211	25	2	0	31	0	4	0	1	51
ENSG00000185561	168	300	439	151	194	746	105	203	129	133	174	136	131	198	172	85	204	330
ENSG00000185565	19061	22810	13073	11033	14350	13806	9313	23616	23414	5693	4844	15916	12829	12612	11075	15162	17817	30044
ENSG00000185567	155	727	183	933	704	184	442	158	595	421	85	94	287	136	91	7	142	550
ENSG00000185585	408	709	621	1707	219	814	1576	280	457	1197	1395	246	681	504	454	623	337	995
ENSG00000185591	4100	5435	3754	3590	3449	3172	3014	5686	4705	2979	1172	3770	5175	3697	3858	2084	5365	8831
ENSG00000185594	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
ENSG00000185596	547	387	973	240	314	222	600	164	569	506	469	280	652	816	430	585	267	516
ENSG00000185607	12	0	12	4	8	6	5	4	2	15	5	4	19	5	25	9	7	18
ENSG00000185608	1538	2048	1619	1860	1057	1913	1735	2101	1817	1815	2053	1072	1109	1416	1824	1086	2200	3544
ENSG00000185610	106	138	152	1784	319	969	149	32	1281	97	196	107	42	98	111	18	51	107
ENSG00000185614	372	230	44	110	90	253	227	254	235	253	426	171	197	202	167	114	156	489
ENSG00000185615	488	81	710	7	403	21	1193	177	787	368	490	218	119	1202	1026	561	189	150
ENSG00000185619	3876	2283	3359	2460	1899	1151	5214	2626	3386	4159	1541	2501	4979	3368	3494	1685	2525	4387
ENSG00000185621	553	534	715	717	901	698	398	362	655	451	225	674	314	393	382	214	669	1461
ENSG00000185624	13699	11821	19070	33074	9792	23044	14281	14223	13614	40297	23707	8884	18179	13917	20710	12117	16510	19787
ENSG00000185627	4956	5839	6631	6374	2760	5077	7176	6350	5688	10147	8649	3329	3654	5163	6503	4725	5905	7984
ENSG00000185630	11452	13407	6551	8286	8558	6969	11817	21394	13708	3718	2468	9994	11618	8424	7216	7039	9005	24930
ENSG00000185631	1	0	3	1	0	0	0	1	1	2	0	0	1	1	0	1	0	2
ENSG00000185633	961	1185	1785	4242	394	1412	3870	437	1036	3574	5242	353	1541	1873	2240	1083	731	1307
ENSG00000185634	451	974	651	287	704	959	438	739	1590	778	292	436	813	1068	539	440	301	1513
ENSG00000185638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185640	1	0	1	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0
ENSG00000185641	221	302	167	220	116	437	256	515	435	164	271	195	246	155	203	355	213	607
ENSG00000185650	12758	17101	4514	13179	17876	11880	5651	8764	11425	5165	1531	10195	10156	8793	9809	1231	28552	35009
ENSG00000185651	5789	5541	4836	6580	5252	5734	5521	6430	6181	8215	5207	4356	3823	4714	5026	4502	5662	8883
ENSG00000185652	0	9	0	6	8	2	7	3	6	0	2	1	6	5	1	0	0	20
ENSG00000185658	6727	7444	6034	5605	5043	2424	4115	7011	8488	2512	1634	4977	5970	3938	2754	5131	6050	9388
ENSG00000185662	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	3
ENSG00000185664	20	31	6	49	16	302	21	10	17	19	7	793	14	9	14	16	18	49
ENSG00000185666	101	797	350	72	867	793	54	273	925	289	220	213	291	728	199	543	161	717
ENSG00000185668	91	26	5	27	74	17	118	56	39	111	34	96	106	20	18	12	38	19
ENSG00000185669	164	93	28	73	132	169	555	90	86	123	45	120	87	132	116	27	53	341
ENSG00000185670	498	413	349	424	321	237	716	436	506	420	480	354	565	493	537	380	405	625
ENSG00000185674	14	2	5	4	5	1	5	7	11	16	7	7	6	1	14	1	4	5
ENSG00000185681	72	90	20	74	57	72	33	79	85	59	37	46	39	47	15	14	152	257
ENSG00000185684	981	555	981	680	787	327	605	860	917	980	452	615	1346	631	997	937	793	1011
ENSG00000185686	2	2	3	1	3	0	0	0	3	43	3	42	0	2	2	0	15	7
ENSG00000185689	18	14	24	15	60	14	22	7	31	8	6	16	21	20	26	22	15	33
ENSG00000185697	325	380	373	627	341	245	758	570	719	2040	189	222	3209	431	157	250	283	390
ENSG00000185700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185710	0	0	0	1	1	0	10	14	0	1	1	1	3	1	10	1	1	2
ENSG00000185716	1077	1339	1248	938	1529	813	1088	1384	2002	781	296	1183	843	863	842	1731	1234	2231
ENSG00000185721	2318	3259	3156	2517	1527	2109	2604	3150	3358	3231	2686	1851	1945	2964	2674	2510	2601	4106
ENSG00000185722	13559	10815	12119	10052	11821	8534	5795	16114	15907	4809	2719	12090	10233	9249	11444	7920	16534	28013
ENSG00000185728	4274	4943	3820	4106	3857	2384	2687	5171	4775	2694	1338	3785	7398	2604	1612	4325	3371	7230
ENSG00000185730	741	468	875	613	423	364	989	1568	736	953	392	811	2273	803	938	893	496	758
ENSG00000185736	1261	601	928	125	944	1286	496	414	2247	338	1388	1949	242	3014	4977	404	3306	1712
ENSG00000185737	1211	1370	818	652	2421	1811	414	1737	1958	185	302	1237	189	842	1139	447	2461	4342
ENSG00000185739	37	169	29	11	54	104	101	65	106	16	102	80	41	42	49	87	49	130
ENSG00000185742	73	895	4	387	1834	22	436	41	1125	67	4	27	296	304	47	14	9	434
ENSG00000185745	1647	1580	760	2915	2143	2043	1760	2559	3066	2859	1601	1623	7103	1812	46751	396	61048	12915
ENSG00000185753	1746	1766	1570	1508	1101	1152	1323	1079	1506	1455	829	1075	807	1298	1671	788	1577	2367
ENSG00000185758	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000185760	356	2512	968	87	2483	159	748	3868	2086	478	366	795	1393	1187	1430	725	758	4642
ENSG00000185761	58	42	137	7	23	96	44	17	38	23	46	16	11	65	59	28	13	23
ENSG00000185774	166	676	342	185	887	207	361	589	954	383	80	395	535	404	116	121	165	668
ENSG00000185775	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000185787	13627	18045	12721	18434	12932	13789	11550	15791	17404	14491	6431	9611	11799	12025	10304	4533	16241	26634
ENSG00000185792	2	2	1	0	4	1	0	3	3	4	1	0	16	1	4	0	5	2
ENSG00000185798	335	377	371	489	228	244	351	200	340	464	287	242	215	384	367	284	362	681
ENSG00000185800	3249	2890	1662	4519	3208	1401	2412	3539	2923	3515	1702	2758	3342	2000	2899	1632	3496	5809
ENSG00000185803	1508	1401	3007	2804	1190	2709	2429	3320	1936	3798	2867	1402	5805	2215	3009	2892	1382	2347
ENSG00000185808	560	811	409	625	413	1222	617	602	599	602	467	361	581	503	428	249	460	1132
ENSG00000185811	864	758	45	416	630	829	92	535	618	553	84	330	448	187	340	56	1756	1611
ENSG00000185813	2252	3159	2646	1987	1962	3328	4668	2410	3248	1973	2884	1580	1854	2989	3355	1334	3191	3590
ENSG00000185818	10469	12168	5655	4738	8292	19556	8993	11422	12574	7190	6618	5871	21019	8062	6088	3019	8576	16933
ENSG00000185821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185823	5	0	0	0	4	0	1	0	4	3	0	1	0	4	1	0	1	0
ENSG00000185825	6990	8213	9100	11566	5306	12154	9246	9608	9192	12540	15809	5121	5861	8430	10627	5767	8147	14170
ENSG00000185829	29	43	43	32	48	39	41	19	69	38	10	19	60	68	43	27	63	44
ENSG00000185834	10	2	29	5	4	4	14	7	11	12	12	8	14	10	29	28	5	42
ENSG00000185837	37	14	37	25	19	2	62	22	24	23	32	21	24	41	40	20	17	51
ENSG00000185838	379	280	524	518	202	276	204	337	260	719	463	198	332	224	540	454	318	462
ENSG00000185839	13	3	9	3	3	7	3	2	3	7	5	2	9	9	20	3	5	18
ENSG00000185842	25	8	15	7	30	105	31	7	21	155	68	6	17	8	9	7	12	31
ENSG00000185847	0	1	0	0	3	0	1	0	2	0	0	0	3	0	1	0	0	4
ENSG00000185860	0	13	3	52	9	4	5	17	18	12	1	2	2	2	1	0	13	21
ENSG00000185862	565	466	130	497	468	1277	80	575	446	585	138	355	418	259	269	82	1611	3335
ENSG00000185863	1	0	5	0	1	0	9	2	1	1	3	0	0	7	7	2	2	2
ENSG00000185864	167	61	327	66	89	41	189	91	106	18	6	58	176	101	118	88	111	128
ENSG00000185869	315	418	222	456	287	67	239	388	318	416	118	275	422	226	203	221	336	355
ENSG00000185873	0	0	2	0	3	0	0	0	0	1	0	0	2	0	0	0	1	0
ENSG00000185875	748	2986	927	560	731	833	1028	1709	908	477	352	691	768	608	512	1135	756	1884
ENSG00000185880	2643	3911	6257	6516	5090	6022	3372	3915	4342	4459	2171	1804	4448	4140	9954	1776	13276	8981
ENSG00000185883	2489	2567	4205	2131	3017	3265	3404	2796	3802	3036	2449	1782	2595	3645	6467	2678	2656	4611
ENSG00000185885	970	3756	1130	980	634	1091	761	2263	699	1967	727	608	1632	1574	4134	240	12459	7741
ENSG00000185888	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000185894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185896	17835	13643	11934	20634	15328	26908	11071	32148	13800	14193	16430	11559	12114	16053	13309	8093	12157	30699
ENSG00000185897	1	0	1	1	1	0	0	0	1	9	0	0	0	1	11	0	13	2
ENSG00000185899	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185900	125	352	103	179	126	36	109	673	343	61	21	71	217	93	104	185	161	381
ENSG00000185903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185904	141	1217	790	8	395	225	103	166	1551	867	650	196	1423	455	508	2547	228	546
ENSG00000185905	61	44	3	37	39	116	19	34	59	65	16	22	48	21	33	10	94	181
ENSG00000185909	1225	1862	1254	683	1128	1192	1083	1561	1486	1717	1348	1182	1862	1596	1383	403	1595	5529
ENSG00000185915	9	21	2	2	68	11	25	7	66	9	0	8	12	1	9	12	10	37
ENSG00000185917	1437	1202	3040	1945	1392	1265	1814	1672	2212	1734	1033	1202	2011	1464	1759	1628	1290	2165
ENSG00000185920	9429	3224	2990	4084	2570	1047	8286	11524	6297	1465	1294	14926	5029	2739	6734	6519	8462	10821
ENSG00000185924	84	253	39	32	1191	30	331	181	589	75	110	38	158	114	120	48	30	203
ENSG00000185926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185933	5	15	1	1	61	1	24	4	81	4	0	1	17	2	4	0	1	13
ENSG00000185940	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1
ENSG00000185942	405	349	68	176	372	57	59	404	416	54	29	224	196	105	78	12	125	416
ENSG00000185946	947	506	897	480	1009	239	542	610	1078	335	126	770	1077	726	595	632	847	1684
ENSG00000185947	548	687	696	765	1214	924	411	803	833	493	223	532	688	415	436	635	826	1218
ENSG00000185950	2726	3657	4454	3250	6982	6129	2775	7415	5643	3652	3035	3304	3966	4284	6769	2723	4502	9391
ENSG00000185955	439	121	353	158	122	46	232	403	147	184	417	285	294	257	338	207	229	322
ENSG00000185958	23	9	29	9	13	21	141	16	27	59	39	14	56	32	38	33	20	48
ENSG00000185960	6	4	1	0	1	1	2	1	2	1	1	0	1	2	2	1	2	3
ENSG00000185962	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185963	4876	3369	3489	2783	2729	2410	2844	2664	4213	2263	1443	2724	3630	3195	2373	3082	2543	5909
ENSG00000185966	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185972	11	29	6	13	28	16	14	5	30	26	8	3	16	15	17	1	6	5
ENSG00000185973	761	1009	677	467	404	340	414	618	919	359	185	456	227	506	482	436	527	1100
ENSG00000185974	19	46	20	24	20	14	109	18	23	50	16	10	4	18	41	15	21	63
ENSG00000185982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185985	2642	6023	4295	590	4003	2782	2030	5091	6996	3688	1706	2971	2713	5519	3366	6289	2466	6477
ENSG00000185986	299	262	651	323	277	130	621	372	633	499	496	240	725	501	769	564	348	431
ENSG00000185988	222	182	148	14	85	17	107	115	109	23	68	55	83	258	355	71	66	67
ENSG00000185989	3216	3316	7146	8936	3417	4449	4604	12673	6404	4119	3710	2579	2516	6095	9373	6853	2692	4169
ENSG00000186001	3730	2558	2859	2329	3217	2115	2538	1541	3808	2495	1274	2779	2082	2794	2805	2636	3113	5290
ENSG00000186007	7	18	33	160	28	9	96	38	75	59	21	10	7	45	54	17	18	45
ENSG00000186008	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1
ENSG00000186009	2	2	2	1	0	0	7	0	2	5	2	0	1	1	1	7	4	5
ENSG00000186010	1507	1557	2159	2599	1051	2303	1943	1641	2090	2861	6480	1170	2018	2325	2860	1314	1526	2803
ENSG00000186017	1164	1277	609	953	590	218	659	958	799	889	294	974	1027	469	361	625	882	1183
ENSG00000186019	70	132	14	78	28	14	13	27	32	75	5	89	133	45	23	29	43	74
ENSG00000186020	1743	1863	1498	1787	1061	375	1114	1660	1502	1284	452	1226	1658	933	857	1309	1469	1766
ENSG00000186026	265	239	173	188	123	70	179	231	167	267	127	221	267	157	135	131	202	337
ENSG00000186038	0	0	1	0	0	0	1	1	8	0	0	0	0	1	2	0	0	0
ENSG00000186047	126	135	27	89	173	165	72	199	212	144	22	56	99	26	56	5	384	517
ENSG00000186049	0	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0
ENSG00000186051	8	4	5	7	6	0	8	5	6	10	1	5	12	16	17	3	5	4
ENSG00000186056	30	33	45	34	24	30	16	25	21	52	55	22	35	71	45	40	23	56
ENSG00000186063	1134	1185	1146	1038	918	1434	680	1396	1463	1071	237	902	1084	738	725	509	2002	2784
ENSG00000186073	302	369	488	267	335	327	308	369	576	394	152	342	495	319	279	379	286	677
ENSG00000186074	68	33	36	91	64	71	33	18	55	249	69	31	63	75	139	15	115	206
ENSG00000186075	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000186076	18	6	24	2	6	11	9	1	12	5	4	9	6	8	18	11	6	24
ENSG00000186081	18	2	2176	249	1057	2	42	13	13	209	1	166	817	1	11	0	498	22
ENSG00000186082	0	0	2	3	0	0	6	0	0	0	0	0	0	0	0	0	0	3
ENSG00000186086	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000186088	245	202	120	1371	409	686	283	686	444	1052	91	276	828	225	269	102	296	780
ENSG00000186090	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	1	1	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186094	12	108	36	24	370	36	125	39	269	62	14	22	73	7	24	11	52	100
ENSG00000186103	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186104	449	397	692	284	308	525	602	379	535	676	371	335	383	438	433	422	388	725
ENSG00000186105	26	26	31	25	9	15	22	32	16	22	2	15	26	9	12	22	28	39
ENSG00000186106	3518	4447	3837	1873	2891	1512	3801	9101	5389	1185	1567	4213	4580	3087	2768	3953	3466	5732
ENSG00000186111	4753	4791	5669	6885	8042	3127	6628	3608	7220	5608	3889	3672	5899	5011	7144	4951	3782	6793
ENSG00000186113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000186115	12	1	1	4	4	4	16	1	6	16	2	4	1	3	4	3	24	2
ENSG00000186118	5	16	1	1	6	2	15	4	7	5	4	4	8	2	6	0	3	2
ENSG00000186119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186130	1480	2645	1209	1079	1055	561	1193	2177	1579	746	527	1381	1548	1013	771	1888	1812	2838
ENSG00000186132	528	668	676	528	372	656	364	703	563	562	555	454	393	534	524	532	547	1043
ENSG00000186136	1	0	0	0	2	0	0	0	0	1	0	3	0	1	0	2	0	0
ENSG00000186141	1100	1065	1259	1020	810	897	1082	1326	1335	1412	620	979	1995	934	1265	1116	1317	1864
ENSG00000186143	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0
ENSG00000186146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186148	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	0	1
ENSG00000186150	24	80	42	45	12	28	25	21	23	38	31	24	32	19	37	15	41	104
ENSG00000186152	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	4	0
ENSG00000186153	1205	1550	1401	797	1115	1652	862	2716	2598	934	1030	1330	826	1975	1490	1198	2222	4050
ENSG00000186160	0	0	5	1	8	1	11	0	5	1	2	0	3	3	1	0	1	1
ENSG00000186162	668	1168	1120	1328	695	687	1073	568	985	1021	1296	501	804	906	919	550	602	1567
ENSG00000186163	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1
ENSG00000186166	1434	457	1582	486	787	637	2079	939	783	1628	934	780	1000	1228	1800	1113	1385	1136
ENSG00000186174	3397	2336	2527	1291	2385	1138	3042	3421	2840	1265	254	2759	2041	3162	3400	2924	2674	5998
ENSG00000186184	1001	1275	1302	2411	1369	1286	2122	1858	1791	2678	1421	790	722	1922	1869	677	1872	2360
ENSG00000186185	718	471	181	1094	272	57	750	902	566	3174	307	1119	3341	482	614	275	573	428
ENSG00000186187	1527	1549	1599	1112	1742	1370	1937	1387	1946	2519	1519	944	1782	1531	2005	1640	1619	2323
ENSG00000186188	72	73	1	63	109	132	25	40	76	101	57	71	21	17	27	20	37	283
ENSG00000186190	0	0	0	1	0	0	2	0	0	5	0	0	1	0	0	0	0	0
ENSG00000186191	0	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0
ENSG00000186193	2240	2696	4549	1690	921	80	5354	7401	6387	3664	10144	2149	6639	6953	6186	17677	2710	4604
ENSG00000186197	18	31	11	7	14	13	8	44	20	82	8	10	59	25	4	3	6	36
ENSG00000186198	178	70	3	435	151	71	60	58	391	72	42	190	156	136	85	12	345	272
ENSG00000186204	17	45	17	1	5	20	15	45	8	20	22	184	7	65	41	2	987	578
ENSG00000186205	325	168	403	591	500	2225	305	511	2869	1110	1096	540	536	1808	2055	543	1830	641
ENSG00000186207	3	6	0	10	0	2	2	0	0	1	1	0	0	12	0	0	4	0
ENSG00000186212	13	65	0	9	193	0	68	6	152	28	0	7	42	2	11	3	1	47
ENSG00000186222	705	555	917	463	339	566	1086	840	586	1095	696	469	1432	812	915	501	732	990
ENSG00000186226	3	6	0	2	21	1	1	4	29	0	7	3	15	0	0	3	1	33
ENSG00000186230	282	91	177	262	185	87	126	245	148	152	80	174	305	99	115	173	189	337
ENSG00000186231	1389	776	1021	197	1376	1203	441	3035	2681	865	600	2296	479	2115	1831	1266	2132	4658
ENSG00000186234	3	3	0	1	2	2	0	3	2	1	1	0	3	2	1	1	0	0
ENSG00000186235	29	30	5	30	35	14	64	25	49	40	155	25	52	87	76	20	49	62
ENSG00000186244	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	1
ENSG00000186260	1721	3436	1829	2691	7228	4821	3262	5123	6370	2259	1021	1763	3070	1578	1725	2794	2195	13305
ENSG00000186265	5	11	12	24	9	15	4	5	6	4	0	9	13	6	5	5	39	64
ENSG00000186268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186272	640	252	264	484	280	140	215	537	215	407	85	321	531	189	203	212	551	697
ENSG00000186280	205	299	249	189	161	157	294	228	296	239	179	127	388	255	174	230	212	377
ENSG00000186281	75	6	57	29	58	25	61	5	72	168	99	44	51	80	202	5	187	73
ENSG00000186283	1743	1723	2708	2380	1301	2579	2077	1620	1869	3270	1703	988	2090	1592	2117	1742	1980	3388
ENSG00000186288	23	27	0	0	69	3	41	2	60	16	11	7	18	25	15	0	9	18
ENSG00000186297	60	1274	5	4	1304	52	248	174	2049	314	14	16	149	20	154	22	16	252
ENSG00000186298	6896	7675	5080	8372	5812	5171	7251	5130	10860	7082	2791	6795	10441	5276	4486	10183	9272	13666
ENSG00000186300	883	1016	1002	584	552	350	824	691	1091	601	322	888	753	755	734	839	589	1058
ENSG00000186301	88	133	101	34	149	31	297	49	159	53	66	99	131	392	298	10	93	192
ENSG00000186306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186310	4477	5603	7195	1357	6450	3507	5822	8319	11180	1206	1997	6149	3235	6102	8228	6866	4689	12870
ENSG00000186312	434	543	443	535	418	395	888	483	493	990	447	362	420	374	565	398	502	639
ENSG00000186314	28	20	4	56	26	22	12	14	37	36	17	11	24	26	13	5	23	63
ENSG00000186318	9001	8058	6091	6057	7529	7131	4621	9393	9254	5935	3019	7607	5398	8673	5882	6913	5370	15208
ENSG00000186326	25	40	22	13	10	6	24	24	18	9	16	15	20	12	13	6	20	23
ENSG00000186328	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186329	0	0	1	0	2	0	1	0	5	1	0	2	0	0	1	1	1	3
ENSG00000186334	2	2	2	1	1	1	0	1	4	1	0	0	1	3	1	2	0	0
ENSG00000186335	0	1	10	9	1	0	0	1	13	0	0	7	2	3	0	0	5	15
ENSG00000186340	2359	5210	5136	8648	4226	1399	618	2324	7712	2502	2298	2900	4293	6803	3725	2637	1204	3670
ENSG00000186350	5620	4554	8803	6099	3427	5949	4371	7297	7884	3632	3829	5470	4773	8438	11360	4192	8259	12618
ENSG00000186352	248	134	578	287	244	335	458	272	181	275	271	226	178	230	449	174	336	371
ENSG00000186364	262	316	313	306	171	187	415	268	553	288	200	182	411	335	532	207	289	362
ENSG00000186367	2	2	0	1	0	0	4	1	3	0	0	4	2	0	4	6	0	1
ENSG00000186369	187	1069	292	329	1306	131	78	1611	2220	806	97	568	1102	132	995	157	55	831
ENSG00000186376	783	804	793	859	549	610	1338	858	1329	682	311	548	743	824	1196	1000	1088	1660
ENSG00000186377	49	172	61	38	406	28	274	36	335	69	21	19	98	57	33	46	33	328
ENSG00000186393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186395	997	892	1820	1406	605	863	1227	1338	1087	1845	1646	816	1048	1102	1462	1010	879	2057
ENSG00000186399	22	5	12	23	36	7	12	36	25	12	0	8	4	35	11	12	22	18
ENSG00000186407	6	24	12	103	22	25	2	7	9	17	17	0	4	3	42	0	201	11
ENSG00000186409	237	302	165	450	349	179	197	337	245	281	77	250	328	91	98	95	437	708
ENSG00000186416	909	1026	1242	481	754	710	708	1023	1288	726	416	750	507	790	672	799	844	1518
ENSG00000186417	1244	371	269	135	318	1309	331	1034	605	2373	854	399	682	2520	1184	94	1738	1482
ENSG00000186431	53	26	0	16	219	7	5	36	5	30	4	9	2	0	19	2	100	78
ENSG00000186432	5487	7843	5386	4337	5902	5938	4319	7294	6605	4547	2180	5056	4231	3857	2948	4739	6153	9727
ENSG00000186439	10	17	9	0	24	52	8	857	230	45	104	161	7	70	18	57	22	523
ENSG00000186440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
